post_id,planned_date_est,weekday,week,brand,platform,format,source_type,source,hook_topic,asset,status,approval_state,scheduled_state,posted_url_id,metrics_state,duplicate_key,notes
2026-07-24-GFC-W1-FB-TEXT-01,2026-07-24,Friday,Week 1,GFC,Facebook,Long-form text post,trust point,Donor education / mission frame,Donor education / mission frame,gfc-fb-text-funding-bottleneck.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-long-form-text-post-donor-education-mission-frame-gfc-fb-text-funding-bottleneck-png,approval-gated; no public posting from this package
2026-07-25-GFC-W1-IG-REEL-01,2026-07-25,Saturday,Week 1,GFC,Instagram,Reel + caption,real clip,GFC mission/funding-bottleneck frame,GFC mission/funding-bottleneck frame,gfc-reel-funding-bottleneck-demo.mp4,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-reel-demo-caption-gfc-mission-funding-bottleneck-frame-gfc-reel-funding-bottleneck-demo-mp4,approval-gated; no public posting from this package
2026-07-27-GFC-W1-FB-STATIC-01,2026-07-27,Monday,Week 1,GFC,Facebook,Static image + caption,project,Bombardier beetle sprinkler project,Bombardier beetle sprinkler project,gfc-fb-static-bombardier-beetle.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-static-image-caption-bombardier-beetle-sprinkler-project-gfc-fb-static-bombardier-beetle-png,approval-gated; no public posting from this package
2026-07-28-GFC-W1-IG-STATIC-01,2026-07-28,Tuesday,Week 1,GFC,Instagram,Static image + caption,trust point,Donor trust / stewardship,Donor trust / stewardship,gfc-ig-static-donor-trust.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-static-image-caption-donor-trust-stewardship-gfc-ig-static-donor-trust-png,approval-gated; no public posting from this package
2026-07-29-GFC-W1-FB-REEL-01,2026-07-29,Wednesday,Week 1,GFC,Facebook,Reel + caption,real clip,GFC mission/funding-bottleneck frame,GFC mission/funding-bottleneck frame,gfc-reel-funding-bottleneck-demo.mp4,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-reel-demo-caption-gfc-mission-funding-bottleneck-frame-gfc-reel-funding-bottleneck-demo-mp4,approval-gated; no public posting from this package
2026-07-30-GFC-W1-IG-STATIC-02,2026-07-30,Thursday,Week 1,GFC,Instagram,Static image + caption,article,Fresh article: rings of Saturn,Fresh article: rings of Saturn,gfc-ig-static-rings-saturn.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-static-image-caption-fresh-article-rings-of-saturn-gfc-ig-static-rings-saturn-png,approval-gated; no public posting from this package
2026-07-31-GFC-W2-FB-TEXT-01,2026-07-31,Friday,Week 2,GFC,Facebook,Long-form text post,trust point,Donor stewardship / 90 percent trust point,Donor stewardship / 90 percent trust point,gfc-ig-static-90-percent.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-long-form-text-post-donor-stewardship-90-percent-trust-point-gfc-ig-static-90-percent-png,approval-gated; no public posting from this package
2026-08-01-GFC-W2-IG-REEL-01,2026-08-01,Saturday,Week 2,GFC,Instagram,Reel + caption,project,Dino DNA project,Dino DNA project,gfc-reel-dino-dna-demo.mp4,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-reel-demo-caption-dino-dna-project-gfc-reel-dino-dna-demo-mp4,approval-gated; no public posting from this package
2026-08-03-GFC-W2-FB-STATIC-01,2026-08-03,Monday,Week 2,GFC,Facebook,Static image + caption,project,Dino DNA project + recent donor activity context,Dino DNA project + recent donor activity context,gfc-fb-static-dino-dna.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-static-image-caption-dino-dna-project-recent-donor-activity-context-gfc-fb-static-dino-dna-png,approval-gated; no public posting from this package
2026-08-04-GFC-W2-IG-STATIC-01,2026-08-04,Tuesday,Week 2,GFC,Instagram,Static image + caption,project,Dino DNA project,Dino DNA project,gfc-fb-static-dino-dna.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-static-image-caption-dino-dna-project-gfc-fb-static-dino-dna-png,approval-gated; no public posting from this package
2026-08-05-GFC-W2-FB-REEL-01,2026-08-05,Wednesday,Week 2,GFC,Facebook,Reel + caption,project,Dino DNA project,Dino DNA project,gfc-reel-dino-dna-demo.mp4,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,facebook-reel-demo-caption-dino-dna-project-gfc-reel-dino-dna-demo-mp4,approval-gated; no public posting from this package
2026-08-06-GFC-W2-IG-STATIC-02,2026-08-06,Thursday,Week 2,GFC,Instagram,Static image + caption,trust point,90 percent stewardship point,90 percent stewardship point,gfc-ig-static-90-percent.png,draft_ready_for_review,ready for Steve review,not scheduled,,not posted,instagram-static-image-caption-90-percent-stewardship-point-gfc-ig-static-90-percent-png,approval-gated; no public posting from this package
